normalized_finding_id,raw_finding_id,scenario_id,family_id,context_variant,base_seed_id,check_id,check_name,resource_raw,resource_address_norm,resource_type,file_path_raw,file_path_repo,line_start,line_end,severity_raw,severity_class,severity_numeric,scope_status,scope_category,scope_notes,severity_policy_basis,environment,asset_criticality,data_sensitivity
5e69d84be60658fc,bb13b084a34f79fd,CTX-03-A,CTX-03,context_a,AIG-02626,CKV_AWS_130,Ensure VPC subnets do not assign public IP by default,aws_subnet.public,aws_subnet.public,aws_subnet,/CTX-03/context_a/main.tf,CTX-03/context_a/main.tf,24,32,,,,OUT_OF_SCOPE,,"Subnet public-IP assignment is outside the predefined public S3, public RDS, security-group, and administrative-port categories.",,dev,low,low
bd19a24e8c4775e2,97f0b620c1778888,CTX-03-B,CTX-03,context_b,AIG-02626,CKV_AWS_130,Ensure VPC subnets do not assign public IP by default,aws_subnet.public,aws_subnet.public,aws_subnet,/CTX-03/context_b/main.tf,CTX-03/context_b/main.tf,24,32,,,,OUT_OF_SCOPE,,"Subnet public-IP assignment is outside the predefined public S3, public RDS, security-group, and administrative-port categories.",,prod,high,high
20b34d66035f8833,f4beccb61534e028,CTX-05-A,CTX-05,context_a,AIG-00004,CKV_AWS_352,Ensure NACL ingress does not allow all Ports,aws_network_acl_rule.deny_all_ingress,aws_network_acl_rule.deny_all_ingress,aws_network_acl_rule,/CTX-05/context_a/main.tf,CTX-05/context_a/main.tf,189,196,,,,OUT_OF_SCOPE,,NACL unrestricted ingress is not the predefined Security Group 0.0.0.0/0 category.,,dev,low,low
d8ecf31188554de0,853393694e9eac3c,CTX-05-B,CTX-05,context_b,AIG-00004,CKV_AWS_352,Ensure NACL ingress does not allow all Ports,aws_network_acl_rule.deny_all_ingress,aws_network_acl_rule.deny_all_ingress,aws_network_acl_rule,/CTX-05/context_b/main.tf,CTX-05/context_b/main.tf,189,196,,,,OUT_OF_SCOPE,,NACL unrestricted ingress is not the predefined Security Group 0.0.0.0/0 category.,,prod,high,high
806134a3e1cd8193,8da3b73ae52d23a9,CTX-06-A,CTX-06,context_a,EXT-01,CKV_AWS_63,"Ensure no IAM policies documents allow ""*"" as a statement's actions",aws_iam_policy.target,aws_iam_policy.target,aws_iam_policy,/CTX-06/context_a/main.tf,CTX-06/context_a/main.tf,24,35,,HIGH,3,IN_SCOPE,CAT-01,IAM wildcard action scope,IAM wildcard action scope,dev,low,low
748f6077f0d684d0,0773a3c468b102f2,CTX-06-A,CTX-06,context_a,EXT-01,CKV_AWS_290,Ensure IAM policies does not allow write access without constraints,aws_iam_policy.target,aws_iam_policy.target,aws_iam_policy,/CTX-06/context_a/main.tf,CTX-06/context_a/main.tf,24,35,,,,OUT_OF_SCOPE,,IAM write-access control,,dev,low,low
3476fe71bae11522,65b240b707ade067,CTX-06-A,CTX-06,context_a,EXT-01,CKV_AWS_288,Ensure IAM policies does not allow data exfiltration,aws_iam_policy.target,aws_iam_policy.target,aws_iam_policy,/CTX-06/context_a/main.tf,CTX-06/context_a/main.tf,24,35,,,,OUT_OF_SCOPE,,IAM data-exfiltration control,,dev,low,low
1a76e89c242e8933,8807f0cb6311f77a,CTX-06-A,CTX-06,context_a,EXT-01,CKV_AWS_355,"Ensure no IAM policies documents allow ""*"" as a statement's resource for restrictable actions",aws_iam_policy.target,aws_iam_policy.target,aws_iam_policy,/CTX-06/context_a/main.tf,CTX-06/context_a/main.tf,24,35,,HIGH,3,IN_SCOPE,CAT-02,IAM wildcard resource scope,IAM wildcard resource scope,dev,low,low
575a0b3fe6917879,a8f120033dead74b,CTX-06-A,CTX-06,context_a,EXT-01,CKV_AWS_287,Ensure IAM policies does not allow credentials exposure,aws_iam_policy.target,aws_iam_policy.target,aws_iam_policy,/CTX-06/context_a/main.tf,CTX-06/context_a/main.tf,24,35,,,,OUT_OF_SCOPE,,IAM credential-exposure control,,dev,low,low
abab00d48b328747,ace0adb57bcb6236,CTX-06-A,CTX-06,context_a,EXT-01,CKV_AWS_289,Ensure IAM policies does not allow permissions management / resource exposure without constraints,aws_iam_policy.target,aws_iam_policy.target,aws_iam_policy,/CTX-06/context_a/main.tf,CTX-06/context_a/main.tf,24,35,,HIGH,3,IN_SCOPE,CAT-03,Permissions-management/resource-exposure without constraints,Permissions-management/resource-exposure without constraints,dev,low,low
0903df36fefcf72f,8d9b2165aaf04e38,CTX-06-A,CTX-06,context_a,EXT-01,CKV_AWS_286,Ensure IAM policies does not allow privilege escalation,aws_iam_policy.target,aws_iam_policy.target,aws_iam_policy,/CTX-06/context_a/main.tf,CTX-06/context_a/main.tf,24,35,,CRITICAL,4,IN_SCOPE,CAT-03,Direct privilege-escalation risk,Direct privilege-escalation risk,dev,low,low
1428ed8c3331d09e,477d5c05a6cb02e5,CTX-06-A,CTX-06,context_a,EXT-01,CKV_AWS_62,"Ensure IAM policies that allow full ""*-*"" administrative privileges are not created",aws_iam_policy.target,aws_iam_policy.target,aws_iam_policy,/CTX-06/context_a/main.tf,CTX-06/context_a/main.tf,24,35,,CRITICAL,4,IN_SCOPE,CAT-03,Full administrative IAM privileges,Full administrative IAM privileges,dev,low,low
8a7e49d46021b44b,48ccbed177c4f1c0,CTX-06-B,CTX-06,context_b,EXT-01,CKV_AWS_63,"Ensure no IAM policies documents allow ""*"" as a statement's actions",aws_iam_policy.target,aws_iam_policy.target,aws_iam_policy,/CTX-06/context_b/main.tf,CTX-06/context_b/main.tf,24,35,,HIGH,3,IN_SCOPE,CAT-01,IAM wildcard action scope,IAM wildcard action scope,prod,high,high
1e1ac2cfcee9999c,7197b4de544ca8a6,CTX-06-B,CTX-06,context_b,EXT-01,CKV_AWS_290,Ensure IAM policies does not allow write access without constraints,aws_iam_policy.target,aws_iam_policy.target,aws_iam_policy,/CTX-06/context_b/main.tf,CTX-06/context_b/main.tf,24,35,,,,OUT_OF_SCOPE,,IAM write-access control,,prod,high,high
